Date,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2022-12-04,0.2163970023393631,0.22093699872493744,0.2156360000371933,0.21667100489139557,292250,-96446144.69118203,0.23207984828506542,0.2164700485765934,0.2008602488681214,0.21754977239567114,0.22198145239054454,-0.0044316799948734,-0.0063171504278653106,0.0018854704329919108,6.4324976421840745,4582060.0,49.7808141609037,0.2164700485765934,0.22933225810527802,75.48023456304043,71.7456976534775
2022-12-05,0.2166689932346344,0.21791499853134155,0.21179300546646118,0.21294300258159637,255437,-96605615.61674869,0.23028350278657872,0.2156895488500595,0.2010955949135403,0.21684103857812118,0.2213119375898817,-0.004470899011760537,-0.005947900144644356,0.0014770011328838189,6.129406429853661,4326623.0,51.38166038509629,0.2156895488500595,0.2287112382054329,69.60307373020038,71.29180651456146
2022-12-06,0.21302099525928497,0.21423600614070892,0.20521500706672668,0.20718300342559814,261423,-96752975.96908095,0.23037376143599186,0.21529104933142662,0.20020833722686138,0.21535518701619455,0.22026534987400886,-0.004910162857814315,-0.005740352687278349,0.0008301898294640333,6.189937866184157,4065200.0,48.08392222250149,0.21529104933142662,0.22825569838285445,56.302687425646994,67.12866523962929
2022-12-07,0.20723199844360352,0.20757099986076355,0.19722400605678558,0.1986909955739975,212831,-96905456.90809189,0.23110520838777573,0.2143500491976738,0.19759489000757188,0.21279146525585654,0.21866724955548952,-0.00587578429963298,-0.005767439009749275,-0.00010834528988370486,6.336148061578988,3852369.0,38.964958311440505,0.2143500491976738,0.22750503838062286,36.693833002470456,54.19986471943929
2022-12-08,0.1987379938364029,0.20193299651145935,0.1963520050048828,0.19856899976730347,237454,-96954258.30894868,0.23031835830394354,0.2130066990852356,0.19569503986652764,0.210603393642233,0.21717849031192019,-0.006575096669687197,-0.005928970541736861,-0.0006461261279503364,5.296142760444931,3614915.0,55.60014350255957,0.2130066990852356,0.22704397827386857,36.41213307290076,43.13621783367275
2022-12-09,0.1984100043773651,0.20340299606323242,0.19465899467468262,0.1986590027809143,186308,-96970110.36368218,0.2300333572067135,0.21193429902195932,0.19383524083720513,0.20876579504818393,0.21580667642073456,-0.007040881372550628,-0.0061513527078996145,-0.0008895286646510136,4.2447455842891415,3801223.0,33.66873773850277,0.21193429902195932,0.22659341841936112,12.719432874017421,28.60846631646289
2022-12-10,0.19822299480438232,0.20219799876213074,0.19649800658226013,0.20031000673770905,231097,-96892104.55503815,0.2297333077185031,0.21109429970383645,0.1924552916891698,0.2074649045388801,0.21465877496273267,-0.007193870423852555,-0.006359856251090203,-0.0008340141727623523,4.100000957511984,4032320.0,35.240840493473215,0.21109429970383645,0.22594007849693298,17.969380735490954,22.36698222746972
2022-12-11,0.20051400363445282,0.20395000278949738,0.19526299834251404,0.19632700085639954,265981,-97092929.731897,0.23017462909673334,0.2103975497186184,0.19062047034050347,0.20575138089542155,0.21330086576967097,-0.007549484874249418,-0.006597781975722047,-0.000951702898527371,4.218252894212923,3766339.0,33.806170723133945,0.2103975497186184,0.225313378572464,5.304012416560231,11.997608675356211
2022-12-12,0.19625699520111084,0.19794300198554993,0.1906139999628067,0.1916089951992035,219514,-97252840.6940918,0.23090267403450215,0.20942349955439568,0.1879443250742892,0.20357562924984954,0.21169406054222895,-0.008118431292379408,-0.0069019118390535195,-0.0012165194533258882,4.315222910217475,3546825.0,31.260891309454763,0.20942349955439568,0.22465351849794388,2.8033561434013654,8.69224976515086
2022-12-13,0.19157899916172028,0.19711899757385254,0.18904100358486176,0.19243699312210083,226892,-97288961.85149413,0.2300420511589083,0.20800029933452607,0.18595854751014385,0.2018619929225036,0.21026761110370093,-0.008405618181197339,-0.007202653107482284,-0.0012029650737150543,4.206793136553398,3773717.0,17.314350683311105,0.20800029933452607,0.22406995832920074,9.162007599936322,5.756458719965981
2022-12-14,0.1924470067024231,0.19463799893856049,0.18847699463367462,0.1931000053882599,269011,-97154259.21072282,0.22978485869516127,0.2081217996776104,0.18645874066005955,0.20051399484031224,0.20899593660626087,-0.00848194176594863,-0.0074585108391755535,-0.0010234309267730772,4.00391996327151,4042728.0,15.421780278805699,0.2081217996776104,0.2233816185593605,12.624276321391347,8.196546688243021
2022-12-15,0.1931850016117096,0.2208240032196045,0.19141800701618195,0.19942200183868408,1457219,-97818199.63694057,0.22919478838565208,0.20738900005817412,0.18558321173069617,0.20034599591698485,0.20828675625310702,-0.007940760336122177,-0.007554960738564879,-0.00038579959755729795,4.535606558298209,5499947.0,28.8376341642214,0.20738900005817412,0.22281569868326187,32.42484296831293,18.070375629880207
2022-12-16,0.19944900274276733,0.20186200737953186,0.19003799557685852,0.19003799557685852,458867,-98277066.63305977,0.2290010969153791,0.2061617501080036,0.18332240330062813,0.19876014971081157,0.20693499620301453,-0.008174846492202958,-0.007678937889292495,-0.0004959086029104635,4.861771307799821,5041080.0,19.324441399744416,0.2061617501080036,0.22213381856679917,4.624502250940505,16.557873846881602
2022-12-17,0.1900469958782196,0.19193699955940247,0.18349599838256836,0.18532800674438477,260727,-98424618.89430015,0.22921453107293727,0.20479555055499077,0.18037657003704427,0.19669366617751513,0.20533447846533825,-0.008640812287823124,-0.007871312768998622,-0.0007694995188245023,5.039018808899566,4780353.0,19.683832789461647,0.20479555055499077,0.2210318186879158,4.893053978715976,13.980799732656479
2022-12-18,0.18538500368595123,0.187267005443573,0.18157599866390228,0.18393999338150024,106273,-98442602.13424578,0.2292460693726045,0.20339065045118332,0.17753523152976214,0.1947315626704359,0.20374970179246135,-0.009018139122025454,-0.008100678039603989,-0.0009174610824214651,5.0921883091696065,4674080.0,18.430151457257352,0.20339065045118332,0.21988325864076613,6.023222679307608,5.18025963632137
2022-12-19,0.18378600478172302,0.18443000316619873,0.1759600043296814,0.177389994263649,315464,-98651546.55527455,0.2279236141825759,0.2011571504175663,0.1743906866525567,0.19206362906939176,0.20179713086440118,-0.009733501795009425,-0.008427242790685076,-0.0013062590043243488,5.374759482016598,4358616.0,17.478654165986512,0.2011571504175663,0.21869015842676162,3.187388476646454,4.701221711556687
2022-12-20,0.17741499841213226,0.18436799943447113,0.17595699429512024,0.18403099477291107,253113,-98418716.5704742,0.22475035341385613,0.19917185008525848,0.17359334675666083,0.19082783917762547,0.20048112078355007,-0.009653281605924602,-0.008672450553732981,-0.0009808310521916205,5.157128315920168,4611729.0,29.158119898846564,0.19917185008525848,0.21773111820220947,17.99540609757337,9.068672417842484
2022-12-21,0.1841530054807663,0.18484699726104736,0.1772110015153885,0.1772180050611496,395518,-98813509.04671955,0.22272983257939089,0.19709635004401208,0.17146286750863327,0.1887340185443215,0.1987579270263352,-0.010023908482013705,-0.008942742139389127,-0.0010811663426245777,5.246121476113003,4216211.0,30.067036853306064,0.19709635004401208,0.21661003828048705,2.8105523266354018,7.997782300285082
2022-12-22,0.17718000710010529,0.1775829941034317,0.1706179976463318,0.17239899933338165,340027,-98979641.15023851,0.2197359991490771,0.19462335035204886,0.16951070155502063,0.18622093866571537,0.19680541386389422,-0.010584475198178844,-0.00927108875114707,-0.0013133864470317742,5.450106645542818,3876184.0,27.65540608359659,0.19462335035204886,0.21442661851644515,3.5473877341291593,8.117782052779317
2022-12-23,0.1727299988269806,0.17321600019931793,0.1678760051727295,0.16986599564552307,315396,-99059967.62824516,0.21758604566805775,0.192306549847126,0.16702705402619425,0.18370479358568578,0.19480990140327412,-0.011105107817588333,-0.009637892564435323,-0.0014672152531530099,5.388239107637145,3560788.0,26.4003458655542,0.192306549847126,0.21277627855539322,3.758386610336898,3.3721088903671603
